year,age65_total_mn,age65_pct,eldercare_institutions_k,eldercare_beds_mn,registered_nurses_mn,beds_per_1000_65plus,institutions_per_10k_65plus
2019,169.793276,12.0613659717192,34,7.614,4.43,44.84276515166596,2.0024350080859503
2020,178.436948,12.6452376078587,38,8.238,4.71,46.16756838947951,2.129603785870626
2021,186.512604,13.2057410345267,40,8.135,5.02,43.616355278595535,2.144627180262842
2022,194.624975,13.781930345649,40,8.223,5.2,42.250487122734384,2.0552346891759394
2023,201.958336,14.3160774690688,41,8.201,5.63,40.60738547578447,2.030121697972398
2024,206.629972,14.665268836569,40,7.991,5.84,38.67299560975597,1.9358275865226369
